Dumpster,Month,Year,Date,Weight (tons),Volume (cubic yards),Plastic Bottles,Polystyrene,Cigarette Butts,Glass Bottles,Plastic Bags,Wrappers,Sports Balls,Homes Powered
709,August,2025,8/15/2025,3.1,15,2300,550,8500,19,620,4800,24,52
710,August,2025,8/15/2025,3.31,15,1400,390,6100,26,350,4400,12,55
711,August,2025,8/20/2025,3.8,15,3400,700,8800,32,610,6300,29,63
712,September,2025,9/8/2025,3.89,15,1800,570,6900,22,700,5500,32,65
713,September,2025,9/8/2025,3.12,10,1200,420,5700,12,540,4900,14,52
714,September,2025,9/18/2025,3.62,15,2100,670,7800,27,680,7100,25,60
715,November,2025,11/1/2025,3.08,15,1700,540,8100,33,490,6900,22,51
716,November,2025,11/3/2025,3.26,15,2300,610,6500,20,520,5600,40,54
717,November,2025,11/3/2025,3.38,15,1800,490,7500,32,690,7200,12,56
718,November,2025,11/10/2025,2.6,15,2600,550,6600,25,590,5800,24,43
719,November,2025,11/26/2025,2.89,15,2100,390,8400,28,690,6400,33,48
720,December,2025,12/4/2025,1.98,15,1400,420,7300,22,550,5100,0,33
